Expression	Value	Location	Type	
ucDet_APL_Rot	<array>""	0x2000'3420	UCHAR[3200]	
[149]	0	0x2000'34b5	UCHAR	
[150]	0	0x2000'34b6	UCHAR	
[151]	0	0x2000'34b7	UCHAR	
[152]	0	0x2000'34b8	UCHAR	
[153]	0	0x2000'34b9	UCHAR	
[154]	0	0x2000'34ba	UCHAR	
[155]	0	0x2000'34bb	UCHAR	
[156]	0	0x2000'34bc	UCHAR	
[157]	0	0x2000'34bd	UCHAR	
[158]	0	0x2000'34be	UCHAR	
[159]	0	0x2000'34bf	UCHAR	
[160]	0	0x2000'34c0	UCHAR	
[161]	0	0x2000'34c1	UCHAR	
[162]	0	0x2000'34c2	UCHAR	
[163]	0	0x2000'34c3	UCHAR	
[164]	0	0x2000'34c4	UCHAR	
[165]	0	0x2000'34c5	UCHAR	
[166]	0	0x2000'34c6	UCHAR	
[167]	0	0x2000'34c7	UCHAR	
[168]	0	0x2000'34c8	UCHAR	
[169]	0	0x2000'34c9	UCHAR	
[170]	0	0x2000'34ca	UCHAR	
[171]	0	0x2000'34cb	UCHAR	
[172]	0	0x2000'34cc	UCHAR	
[173]	0	0x2000'34cd	UCHAR	
[174]	0	0x2000'34ce	UCHAR	
[175]	0	0x2000'34cf	UCHAR	
[176]	0	0x2000'34d0	UCHAR	
[177]	0	0x2000'34d1	UCHAR	
[178]	0	0x2000'34d2	UCHAR	
[179]	0	0x2000'34d3	UCHAR	
[180]	0	0x2000'34d4	UCHAR	
[181]	0	0x2000'34d5	UCHAR	
[182]	0	0x2000'34d6	UCHAR	
[183]	0	0x2000'34d7	UCHAR	
[184]	0	0x2000'34d8	UCHAR	
[185]	0	0x2000'34d9	UCHAR	
[186]	0	0x2000'34da	UCHAR	
[187]	0	0x2000'34db	UCHAR	
[188]	0	0x2000'34dc	UCHAR	
[189]	0	0x2000'34dd	UCHAR	
[190]	0	0x2000'34de	UCHAR	
[191]	0	0x2000'34df	UCHAR	
[192]	0	0x2000'34e0	UCHAR	
[193]	0	0x2000'34e1	UCHAR	
[194]	0	0x2000'34e2	UCHAR	
[195]	0	0x2000'34e3	UCHAR	
[196]	0	0x2000'34e4	UCHAR	
[197]	0	0x2000'34e5	UCHAR	
[198]	0	0x2000'34e6	UCHAR	
[199]	0	0x2000'34e7	UCHAR	
[200]	0	0x2000'34e8	UCHAR	
[201]	0	0x2000'34e9	UCHAR	
[202]	0	0x2000'34ea	UCHAR	
[203]	0	0x2000'34eb	UCHAR	
[204]	0	0x2000'34ec	UCHAR	
[205]	0	0x2000'34ed	UCHAR	
[206]	0	0x2000'34ee	UCHAR	
[207]	0	0x2000'34ef	UCHAR	
[208]	0	0x2000'34f0	UCHAR	
[209]	0	0x2000'34f1	UCHAR	
[210]	0	0x2000'34f2	UCHAR	
[211]	0	0x2000'34f3	UCHAR	
[212]	0	0x2000'34f4	UCHAR	
